10s wave,Intensity,Sets,Reps,Rest (s)
Accumulation,0.6,10,5,60
Intensification,0.675,10,3,90
Realization,"0.5,0.6,0.7,0.75",4,"5,3,1,AMAP",as needed
8s wave,Intensity,Sets,Reps,Rest (s)
Accumulation,0.65,8,5,75
Intensification,0.725,8,3,115
Realization,"0.5,0.6,0.7,0.75,0.8",5,"5,3,2,1,AMAP",as needed
5s wave,Intensity,Sets,Reps,Rest (s)
Accumulation,0.7,6,5,180
Intensification,"0.65,0.725,0.775,0.775,0.775,0.775",6,"2,2,5,5,5,5",300
Realization,"0.5,0.6,0.7,0.75,0.8,0.85",6,"5,3,2,1,1,AMAP",as needed
3s wave,Intensity,Sets,Reps,Rest (s)
Accumulation,0.75,7,3,240
Intensification,"0.7,0.775,0.825,0.825,0.825,0.825,0.825",7,"1,1,3,3,3,3,3",300
Realization,"0.5,0.6,0.7,0.75,0.8,0.85,0.9",7,"5,3,2,1,1,1,AMAP",as needed
